time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft
2017-01-01 00:00:00,883.7133333333335,933.1116666666666,-182.855,-177.12750000000005,871.6583333333333,-146.3225
2017-01-01 01:00:00,875.5741666666667,926.8375,-179.31999999999996,-171.83416666666668,868.9058333333332,-144.25333333333336
2017-01-01 02:00:00,876.8041666666667,933.455,-177.72416666666663,-166.12666666666667,874.5724999999999,-144.32750000000001
2017-01-01 03:00:00,877.25,933.2575,-178.21916666666667,-163.46083333333337,871.305,-144.10999999999999
2017-01-01 04:00:00,874.2608333333333,936.0233333333334,-178.01999999999998,-159.36749999999998,870.6391666666667,-143.01
2017-01-01 05:00:00,871.7616666666667,921.5074999999998,-181.4675,-157.85,859.0891666666666,-145.34333333333333
2017-01-01 06:00:00,872.8766666666667,915.9441666666668,-182.14499999999998,-171.50583333333336,858.4616666666667,-145.20333333333335
2017-01-01 07:00:00,867.8158333333332,908.3766666666666,-175.1,-159.74,857.4625000000001,-141.8425
2017-01-01 08:00:00,872.7391666666666,914.2241666666667,-174.57166666666663,-155.1808333333333,855.6616666666667,-140.06083333333333
2017-01-01 09:00:00,873.3633333333333,917.6283333333332,-176.0475,-150.2458333333333,859.5983333333334,-140.40916666666666
2017-01-01 10:00:00,880.14,930.035,-176.53,-152.79666666666665,870.2983333333333,-140.89666666666668
2017-01-01 11:00:00,885.8383333333333,944.8916666666669,-176.41583333333335,-149.72666666666666,879.0316666666668,-141.26083333333332
2017-01-01 12:00:00,880.1733333333333,939.1391666666665,-179.30416666666665,-146.47583333333333,874.4283333333332,-141.55416666666667
2017-01-01 13:00:00,877.3133333333332,932.6525000000001,-180.72583333333333,-145.45916666666665,874.3208333333333,-143.03416666666666
2017-01-01 14:00:00,882.5300000000001,938.17,-181.68083333333337,-137.18249999999998,874.1333333333333,-142.97166666666666
2017-01-01 15:00:00,893.2175000000002,955.7358333333333,-178.28333333333333,-142.23916666666665,879.4566666666668,-138.29999999999998
2017-01-01 16:00:00,884.0008333333334,941.9666666666666,-179.99750000000003,-177.38583333333335,872.04,-141.64166666666665
2017-01-01 17:00:00,891.0341666666665,946.4591666666665,-181.87666666666667,-179.42666666666665,873.2241666666667,-143.79416666666665
2017-01-01 18:00:00,886.0741666666667,934.0183333333333,-182.98083333333332,-181.27166666666668,861.8383333333333,-146.37583333333336
2017-01-01 19:00:00,887.1300000000001,930.6208333333334,-183.015,-176.73333333333335,860.9525000000002,-147.2275
2017-01-01 20:00:00,897.9241666666668,947.6725000000001,-182.13166666666666,-177.20833333333334,872.6841666666666,-143.76166666666666
2017-01-01 21:00:00,893.6949999999998,955.8000000000001,-183.45416666666665,-177.51749999999996,889.9575000000001,-151.37666666666667
2017-01-01 22:00:00,886.5499999999998,945.57,-183.0175,-175.5475,876.5091666666667,-149.005
2017-01-01 23:00:00,892.7158333333333,953.8141666666667,-185.6775,-178.3708333333333,883.6358333333334,-151.26416666666668
2017-01-02 00:00:00,893.4916666666667,944.3874999999999,-185.3475,-165.7425,875.7633333333334,-150.07916666666668
2017-01-02 01:00:00,892.1208333333334,940.1083333333332,-184.49249999999998,-161.24249999999998,867.9425,-146.75083333333336
2017-01-02 02:00:00,904.2441666666667,946.3516666666668,-187.60666666666668,-142.84333333333336,878.3041666666664,-150.79083333333332
2017-01-02 03:00:00,897.8683333333333,941.5841666666669,-187.12,-121.28750000000001,874.3341666666666,-150.2075
2017-01-02 04:00:00,893.4658333333333,930.9983333333334,-188.26249999999996,-150.68249999999998,864.0741666666667,-152.14666666666662
2017-01-02 05:00:00,898.4066666666666,934.2433333333333,-184.97000000000003,-165.83083333333335,866.8874999999998,-148.95250000000001
2017-01-02 06:00:00,888.1691666666666,933.9291666666667,-182.37666666666667,-134.6425,872.7108333333332,-148.0825
2017-01-02 07:00:00,888.7291666666666,922.9608333333335,-189.71916666666667,-206.0925,865.1525000000001,-153.65666666666667
2017-01-02 08:00:00,893.2108333333332,937.6066666666667,-187.58416666666668,-203.56083333333333,866.65,-152.4433333333333
2017-01-02 09:00:00,890.0299999999999,940.8849999999999,-185.73000000000002,-200.72833333333335,871.8275000000002,-149.69666666666666
2017-01-02 10:00:00,891.5591666666668,942.5558333333335,-185.98,-201.55666666666664,883.6533333333332,-151.3841666666667
2017-01-02 11:00:00,892.7075,945.2483333333333,-191.61416666666665,-202.35999999999999,878.4191666666667,-152.2125
2017-01-02 12:00:00,892.7691666666666,938.3441666666669,-189.95749999999998,-204.10833333333335,881.7308333333334,-153.07666666666668
2017-01-02 13:00:00,894.5158333333334,944.0,-189.125,-199.545,887.8066666666667,-152.46583333333334
2017-01-02 14:00:00,894.7833333333333,945.7916666666666,-187.73916666666665,-194.64750000000004,888.1741666666667,-151.33916666666667
2017-01-02 15:00:00,899.6141666666668,953.8400000000001,-187.45916666666665,-191.71416666666667,895.3666666666667,-150.72916666666666
2017-01-02 16:00:00,906.9225,964.5583333333333,-184.59583333333333,-192.32083333333333,898.5858333333332,-149.14249999999998
2017-01-02 17:00:00,906.1266666666667,958.7991666666667,-185.67999999999998,-184.0108333333333,887.3208333333333,-147.41333333333333
2017-01-02 18:00:00,915.4274999999999,962.6416666666668,-183.0616666666667,-184.84416666666667,881.7958333333332,-144.06416666666664
2017-01-02 19:00:00,911.7841666666668,952.5108333333333,-184.61083333333332,-186.87,871.0741666666667,-148.48416666666668
